 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 6.55000000e-10  1.20000000e+00  4.42404723e-06  6.55000000e-10 -9.08597777e-10  1.20000000e+00 -1.02541626e-08  1.11627604e-08  0.00000000e+00 
 6.65000000e-10  1.20000000e+00  4.42537401e-06  6.65000000e-10  9.08870733e-10  1.20000000e+00 -1.02673082e-08  9.35843747e-09  0.00000000e+00 
 6.75000000e-10  1.20000000e+00  4.42434988e-06  6.75000000e-10 -9.09081425e-10  1.20000000e+00 -1.02541686e-08  1.11632500e-08  0.00000000e+00 
 6.85000000e-10  1.20000000e+00  4.42514040e-06  6.85000000e-10  9.09244057e-10  1.20000000e+00 -1.02673036e-08  9.35805958e-09  0.00000000e+00 
 6.95000000e-10  1.20000000e+00  4.42453021e-06  6.95000000e-10 -9.09369589e-10  1.20000000e+00 -1.02541721e-08  1.11635417e-08  0.00000000e+00 
 7.05000000e-10  1.20000000e+00  4.42500121e-06  7.05000000e-10  9.09466487e-10  1.20000000e+00 -1.02673009e-08  9.35783443e-09  0.00000000e+00 
 7.15000000e-10  1.20000000e+00  4.42463765e-06  7.15000000e-10 -9.09541281e-10  1.20000000e+00 -1.02541742e-08  1.11637155e-08  0.00000000e+00 
 7.25000000e-10  1.20000000e+00  4.42491827e-06  7.25000000e-10  9.09599014e-10  1.20000000e+00 -1.02672993e-08  9.35770028e-09  0.00000000e+00 
 7.35000000e-10  1.20000000e+00  4.42470166e-06  7.35000000e-10 -9.09643576e-10  1.20000000e+00 -1.02541754e-08  1.11638190e-08  0.00000000e+00 
 7.45000000e-10  1.20000000e+00  4.42486886e-06  7.45000000e-10  9.09677973e-10  1.20000000e+00 -1.02672983e-08  9.35762036e-09  0.00000000e+00 
 7.55000000e-10  1.20000000e+00  4.42473980e-06  7.55000000e-10 -9.09704525e-10  1.20000000e+00 -1.02541762e-08  1.11638807e-08  0.00000000e+00 
 7.65000000e-10  1.20000000e+00  4.42483942e-06  7.65000000e-10  9.09725020e-10  1.20000000e+00 -1.02672978e-08  9.35757274e-09  0.00000000e+00 
 7.75000000e-10  1.20000000e+00  4.42476253e-06  7.75000000e-10 -9.09740840e-10  1.20000000e+00 -1.02541766e-08  1.11639175e-08  0.00000000e+00 
 7.85000000e-10  1.20000000e+00  4.42482188e-06  7.85000000e-10  9.09753051e-10  1.20000000e+00 -1.02672974e-08  9.35754436e-09  0.00000000e+00 
 7.95000000e-10  1.20000000e+00  4.42477607e-06  7.95000000e-10 -9.09762476e-10  1.20000000e+00 -1.02541769e-08  1.11639394e-08  0.00000000e+00 
 8.05000000e-10  1.20000000e+00  4.42481143e-06  8.05000000e-10  9.09769751e-10  1.20000000e+00 -1.02672972e-08  9.35752746e-09  0.00000000e+00 
 8.15000000e-10  1.20000000e+00  4.42478413e-06  8.15000000e-10 -9.09775367e-10  1.20000000e+00 -1.02541770e-08  1.11639524e-08  0.00000000e+00 
 8.25000000e-10  1.20000000e+00  4.42480520e-06  8.25000000e-10  9.09779702e-10  1.20000000e+00 -1.02672971e-08  9.35751738e-09  0.00000000e+00 
